reception_prob,dpsi,dtlook,max_time_s,max_time_norm,avg_time_norm
0.8,60,10,45.87545592705181,4.587545592705181,3.441231551764895
0.8,90,10,34.790131578949065,3.4790131578949066,3.398411131907575
0.8,120,10,39.17492401215505,3.9174924012155055,3.562901790038316
0.8,150,10,47.1301315789507,4.7130131578950705,4.18728217985911
0.8,2,15,254.68269230766344,16.97884615384423,8.854218784360036
0.8,4,15,126.50471698110331,8.433647798740221,5.690113420168125
0.8,6,15,80.42025316455312,5.361350210970207,4.569444635786358
0.8,10,15,67.07348484850918,4.471565656567279,3.896642243420584
0.8,20,15,54.46076923077037,3.6307179487180243,3.448451635159741
0.8,30,15,51.24144736841382,3.4160964912275884,3.2990442719617006
0.8,45,15,49.45195167286637,3.2967967781910916,3.2213171323410403
0.8,60,15,49.41854103342934,3.294569402228623,3.206974604609525
0.8,90,15,49.226315789476715,3.2817543859651144,3.2187537787882543
